Season,Round,Circuit Name,Location Country,Driver Name,Constructor,Grid,Points,Laps,Position,Position Text,Status
2000,1,0,15,71,10,3,10.0,58,1,0,45
2000,1,0,15,103,10,4,6.0,58,2,11,45
2000,1,0,15,95,37,11,4.0,58,3,17,45
2000,1,0,15,39,5,8,3.0,58,4,18,45
2000,1,0,15,31,7,9,2.0,58,5,19,45
2000,1,0,15,97,5,16,1.0,58,6,20,45
2000,1,0,15,4,7,14,0.0,58,7,21,45
2000,1,0,15,65,24,18,0.0,57,8,22,0
2000,1,0,15,78,25,15,0.0,56,9,23,6
2000,1,0,15,74,30,10,0.0,58,10,24,33
2000,1,0,15,44,37,21,0.0,46,11,28,40
2000,1,0,15,91,30,19,0.0,41,12,28,91
2000,1,0,15,29,24,22,0.0,40,13,28,54
2000,1,0,15,37,16,5,0.0,39,14,28,58
2000,1,0,15,41,16,6,0.0,35,15,28,40
2000,1,0,15,42,25,17,0.0,27,16,28,58
2000,1,0,15,73,22,1,0.0,18,17,28,40
2000,1,0,15,47,3,13,0.0,16,18,28,87
2000,1,0,15,20,22,2,0.0,11,19,28,40
2000,1,0,15,92,3,12,0.0,6,20,28,87
2000,1,0,15,21,15,7,0.0,6,21,28,84
2000,1,0,15,45,15,20,0.0,1,22,28,24
2000,2,6,33,71,10,3,10.0,71,1,0,45
2000,2,6,33,31,7,5,6.0,71,2,11,45
2000,2,6,33,37,16,7,4.0,71,3,17,45
2000,2,6,33,41,16,12,3.0,71,4,18,45
2000,2,6,33,95,37,11,2.0,70,5,19,0
2000,2,6,33,44,37,9,1.0,70,6,20,0
2000,2,6,33,47,3,14,0.0,70,7,21,0
2000,2,6,33,92,3,16,0.0,70,8,22,0
2000,2,6,33,97,5,8,0.0,69,9,23,6
2000,2,6,33,29,24,20,0.0,69,10,1,6
2000,2,6,33,20,22,2,0.0,71,11,24,33
2000,2,6,33,45,15,17,0.0,51,12,28,54
2000,2,6,33,65,24,18,0.0,31,13,28,40
2000,2,6,33,73,22,1,0.0,30,14,28,69
