Year,Race,Pos,No,Driver,Car,Laps,Time/Retired,PTS,Country,Circuit,Type,Direction,Location,Last length used,Turns,Grands Prix,Grands Prix held
2000,47,1,3,Michael Schumacher MSC,Ferrari,58.0,1:34:01.987,10.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,1,3,Michael Schumacher MSC,Ferrari,58.0,1:34:01.987,10.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,2,4,Rubens Barrichello BAR,Ferrari,58.0,+11.415s,6.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,2,4,Rubens Barrichello BAR,Ferrari,58.0,+11.415s,6.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,3,9,Ralf Schumacher RSC,Williams BMW,58.0,+20.009s,4.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,3,9,Ralf Schumacher RSC,Williams BMW,58.0,+20.009s,4.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,4,22,Jacques Villeneuve VIL,BAR Honda,58.0,+44.447s,3.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,4,22,Jacques Villeneuve VIL,BAR Honda,58.0,+44.447s,3.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,5,11,Giancarlo Fisichella FIS,Benetton Playlife,58.0,+45.165s,2.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,5,11,Giancarlo Fisichella FIS,Benetton Playlife,58.0,+45.165s,2.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,6,23,Ricardo Zonta ZON,BAR Honda,58.0,+46.468s,1.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,6,23,Ricardo Zonta ZON,BAR Honda,58.0,+46.468s,1.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,7,12,Alexander Wurz WUR,Benetton Playlife,58.0,+46.915s,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,7,12,Alexander Wurz WUR,Benetton Playlife,58.0,+46.915s,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,8,20,Marc Gene GEN,Minardi Fondmetal,57.0,+1 lap,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,8,20,Marc Gene GEN,Minardi Fondmetal,57.0,+1 lap,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,9,15,Nick Heidfeld HEI,Prost Peugeot,56.0,+2 laps,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,9,15,Nick Heidfeld HEI,Prost Peugeot,56.0,+2 laps,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,10,Jenson Button BUT,Williams BMW,46.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,10,Jenson Button BUT,Williams BMW,46.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,16,Pedro Diniz DIN,Sauber Petronas,41.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,16,Pedro Diniz DIN,Sauber Petronas,41.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,21,Gaston Mazzacane MAZ,Minardi Fondmetal,40.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,21,Gaston Mazzacane MAZ,Minardi Fondmetal,40.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,5,Heinz-Harald Frentzen FRE,Jordan Mugen Honda,39.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,5,Heinz-Harald Frentzen FRE,Jordan Mugen Honda,39.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,6,Jarno Trulli TRU,Jordan Mugen Honda,35.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,6,Jarno Trulli TRU,Jordan Mugen Honda,35.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,14,Jean Alesi ALE,Prost Peugeot,27.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,14,Jean Alesi ALE,Prost Peugeot,27.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,1,Mika Hakkinen HAK,McLaren Mercedes,18.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,1,Mika Hakkinen HAK,McLaren Mercedes,18.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,19,Jos Verstappen VER,Arrows Supertec,16.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
2000,47,NC,19,Jos Verstappen VER,Arrows Supertec,16.0,DNF,0.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,5.278 km (3.280 mi),16,Australian Grand Prix,27
2000,47,NC,2,David Coulthard COU,McLaren Mercedes,11.0,DNF,0.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,3.780 km (2.349 mi),16,Australian Grand Prix,11
