Year,Race,Pos,No,Driver,Car,Laps,PTS,Country,Circuit,Type,Direction,Location,Turns,Grands Prix,Grands Prix held,Last length used (m),Time_in_Seconds,TOTALAVGSpeed (m/s),Average Speed per Lap (m/s),Average Time per Lap (sec),Total Distance of Lap (meters)
2000,47,1,3,Michael Schumacher MSC,Ferrari,58.0,10.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5641.987,38.858650330105334,0.6699767298294023,97.27563793103448,219240.0
2000,47,1,3,Michael Schumacher MSC,Ferrari,58.0,10.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5641.987,54.25818953499893,0.9354860264654987,97.27563793103448,306124.0
2000,47,2,4,Rubens Barrichello BAR,Ferrari,58.0,6.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5653.402,38.780189344398295,0.6686239542137637,97.47244827586206,219240.0
2000,47,2,4,Rubens Barrichello BAR,Ferrari,58.0,6.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5653.402,54.14863475125243,0.9335971508836626,97.47244827586206,306124.0
2000,47,3,9,Ralf Schumacher RSC,Williams BMW,58.0,4.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5661.996,38.7213272492598,0.6676090905044794,97.62062068965517,219240.0
2000,47,3,9,Ralf Schumacher RSC,Williams BMW,58.0,4.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5661.996,54.06644582581831,0.9321801004451433,97.62062068965517,306124.0
2000,47,4,22,Jacques Villeneuve VIL,BAR Honda,58.0,3.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5686.434,38.55491860100724,0.6647399758794351,98.04196551724138,219240.0
2000,47,4,22,Jacques Villeneuve VIL,BAR Honda,58.0,3.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5686.434,53.83409004659159,0.9281739663205447,98.04196551724138,306124.0
2000,47,5,11,Giancarlo Fisichella FIS,Benetton Playlife,58.0,2.0,Australia,Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,16,Australian Grand Prix,11,3780.0,5687.152,38.55005106246501,0.6646560528011208,98.0543448275862,219240.0
2000,47,5,11,Giancarlo Fisichella FIS,Benetton Playlife,58.0,2.0,Australia,Albert Park Circuit *,Street circuit,Clockwise,Melbourne,16,Australian Grand Prix,27,5278.0,5687.152,53.82729352055299,0.9280567848371205,98.0543448275862,306124.0
